iter	Passed	Remaining
0	55	5533
1	107	5277
2	163	5300
3	216	5192
4	268	5099
5	319	5006
6	371	4929
7	430	4955
8	482	4881
9	534	4807
10	588	4757
11	639	4688
12	690	4624
13	742	4558
14	793	4497
15	847	4448
16	912	4454
17	984	4486
18	1051	4483
19	1117	4468
20	1181	4445
21	1251	4435
22	1324	4434
23	1390	4404
24	1455	4366
25	1515	4313
26	1572	4252
27	1626	4183
28	1680	4113
29	1736	4051
30	1792	3990
31	1846	3923
32	1899	3856
33	1950	3786
34	2003	3720
35	2055	3654
36	2107	3587
37	2159	3523
38	2216	3466
39	2275	3413
40	2336	3362
41	2388	3298
42	2442	3237
43	2503	3185
44	2557	3126
45	2610	3064
46	2662	3002
47	2713	2939
48	2766	2879
49	2818	2818
50	2882	2769
51	2940	2714
52	2994	2655
53	3048	2596
54	3103	2538
55	3160	2482
56	3216	2426
57	3280	2375
58	3351	2329
59	3409	2273
60	3470	2219
61	3523	2159
62	3576	2100
63	3627	2040
64	3679	1981
65	3733	1923
66	3785	1864
67	3836	1805
68	3894	1749
69	3957	1695
70	4013	1639
71	4078	1586
72	4143	1532
73	4227	1485
74	4289	1429
75	4353	1374
76	4406	1316
77	4461	1258
78	4513	1199
79	4567	1141
80	4620	1083
81	4678	1027
82	4732	969
83	4783	911
84	4835	853
85	4900	797
86	4957	740
87	5010	683
88	5063	625
89	5114	568
90	5165	510
91	5215	453
92	5273	396
93	5334	340
94	5384	283
95	5444	226
96	5494	169
97	5545	113
98	5598	56
99	5650	0
