road_id,station,lat,lon,phenomenon,phenomenon_q,intensity,intensity_q,start_date,start_ts,start_q,end_date,end_ts,end_q
9,ALEKSAN,56.4,38.75,снег,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-01,7:00,Значение элемента достоверно,2015-01-01,8:30,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-01,9:00,Значение элемента достоверно,2015-01-01,10:20,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-01,13:40,Значение элемента достоверно,2015-01-01,15:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-02,15:00,Значение элемента достоверно,2015-01-02,16:40,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег мокрый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-02,16:40,Значение элемента достоверно,2015-01-02,18:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег мокрый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-02,18:00,Значение элемента достоверно,2015-01-02,21:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег мокрый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-02,21:00,Значение элемента достоверно,2015-01-02,21:30,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег мокрый,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-02,21:30,Значение элемента достоверно,2015-01-02,22:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-02,23:00,Значение элемента достоверно,2015-01-03,0:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-02,0:00,Значение элемента достоверно,2015-01-02,1:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-02,8:20,Значение элемента достоверно,2015-01-02,9:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-02,9:00,Значение элемента достоверно,2015-01-02,12:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-02,12:00,Значение элемента достоверно,2015-01-02,13:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег ливневый мокрый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-03,19:40,Значение элемента достоверно,2015-01-03,19:51,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег ливневый мокрый,Значение элемента достоверно, сильная интенсивность,Значение элемента достоверно,2015-01-03,19:51,Значение элемента достоверно,2015-01-03,21:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег ливневый мокрый,Значение элемента достоверно, сильная интенсивность,Значение элемента достоверно,2015-01-03,21:00,Значение элемента достоверно,2015-01-03,21:12,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег ливневый мокрый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-03,21:12,Значение элемента достоверно,2015-01-03,21:30,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь,Значение элемента достоверно, слабая интенсивность,Значение элемента достоверно,2015-01-03,22:00,Значение элемента достоверно,2015-01-03,23:10,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,дождь ливневый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-03,4:30,Значение элемента достоверно,2015-01-03,6:00,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,снег ливневый мокрый,Значение элемента достоверно, умеренная интенсивность,Значение элемента достоверно,2015-01-03,6:40,Значение элемента достоверно,2015-01-03,7:00,Значение элемента достоверно
